"","Species","Cluster"
"1","Abolboda_pulchella","1"
"2","Achatocarpus_praecox","2"
"3","Acorus_calamus","3"
"4","Actinidia_chinensis","2"
"5","Aerva_javanica","2"
"6","Aextoxicon_punctatum","2"
"7","Agalinis_neoscotica","1"
"8","Ailanthus_altissima","2"
"9","Ainsliaea_cordifolia","1"
"10","Ajuga_reptans","1"
"11","Akebia_quinata","3"
"12","Albizia_julibrissin","3"
"13","Alepis_flavida","3"
"14","Allanblackia_floribunda","2"
"15","Allium_sativum","1"
"16","Allium_schoenoprasum","1"
"17","Allocasuarina_verticillata","2"
"18","Alluaudia_procera","2"
"19","Alnus_alnobetula","2"
"20","Aloe_thraskii","3"
"21","Alphitonia_excelsa","3"
"22","Alseuosmia_macrophylla","3"
"23","Alstroemeria_aurea","3"
"24","Alyssum_simplex","1"
"25","Amborella_trichopoda","2"
"26","Amsonia_tabernaemontana","1"
"27","Anarthria_polyphylla","2"
"28","Angelonia_pubescens","1"
"29","Anigozanthos_humilis","1"
"30","Annona_crassiflora","3"
"31","Antirrhinum_majus","1"
"32","Apium_graveolens","1"
"33","Aquilegia_canadensis","1"
"34","Arabidopsis_thaliana","1"
"35","Aralidium_pinnatifidum","2"
"36","Arctostaphylos_uva-ursi","3"
"37","Arum_maculatum","1"
"38","Asparagus_officinalis","2"
"39","Astelia_alpina","2"
"40","Audouinia_capitata","3"
"41","Avicennia_marina","3"
"42","Azima_tetracantha","2"
"43","Bagassa_guianensis","2"
"44","Balanophora_laxiflora","2"
"45","Balanops_pancheri","2"
"46","Bdallophytum_americanum","2"
"47","Begonia_heracleifolia","1"
"48","Bergeranthus_multiceps","1"
"49","Berteroa_incana","1"
"50","Bertholletia_excelsa","3"
"51","Beta_vulgaris","2"
"52","Bixa_orellana","1"
"53","Borago_officinalis","1"
"54","Brasenia_schreberi","1"
"55","Bretschneidera_sinensis","3"
"56","Bruguiera_gymnorhiza","3"
"57","Buddleja_davidii","3"
"58","Bursera_simaruba","3"
"59","Butomus_umbellatus","1"
"60","Buxus_balearica","2"
"61","Byrsonima_crassifolia","3"
"62","Cabomba_caroliniana","1"
"63","Calceolaria_purpurea","1"
"64","Camellia_sinensis","3"
"65","Canacomyrica_monticola","2"
"66","Canna_indica","1"
"67","Cannabis_sativa","2"
"68","Capparis_zeylanica","3"
"69","Cardiocrinum_cordatum","1"
"70","Carex_laxiflora","2"
"71","Carica_papaya","2"
"72","Caryocar_brasiliense","3"
"73","Catalpa_speciosa","3"
"74","Catharanthus_roseus","1"
"75","Caulophyllum_thalictroides","1"
"76","Centroplacus_glaucinus","2"
"77","Ceratophyllum_demersum","2"
"78","Cercidiphyllum_japonicum","2"
"79","Chimaphila_umbellata","3"
"80","Chimonanthus_praecox","3"
"81","Chloranthus_spicatus","3"
"82","Chorispora_tenella","1"
"83","Cinnamomum_camphora","3"
"84","Clarkia_xantiana","1"
"85","Claytonia_virginica","1"
"86","Cleistesiopsis_bifaria","3"
"87","Clethra_alnifolia","3"
"88","Clutia_pulchella","2"
"89","Cobaea_scandens","3"
"90","Cochlospermum_vitifolium","3"
"91","Coffea_arabica","3"
"92","Combretum_leprosum","3"
"93","Commelina_communis","1"
"94","Cordyline_australis","3"
"95","Coriaria_myrtifolia","3"
"96","Coriaria_ruscifolia","3"
"97","Cornus_florida","3"
"98","Corokia_cotoneaster","3"
"99","Corrigiola_litoralis","1"
"100","Costus_woodsonii","3"
"101","Cucurbita_pepo","1"
"102","Cupaniopsis_anacardioides","3"
"103","Curculigo_latifolia","3"
"104","Cuscuta_cuspidata","1"
"105","Cuttsia_viburnea","3"
"106","Cyclanthus_bipartitus","3"
"107","Cymodocea_nodosa","2"
"108","Cypripedium_calceolus","3"
"109","Cyrilla_racemiflora","3"
"110","Dalechampia_spathulata","3"
"111","Dalzellia_ceylanica","1"
"112","Daphniphyllum_macropodum","2"
"113","Datisca_glomerata","2"
"114","Davidsonia_jerseyana","3"
"115","Davilla_kunthii","3"
"116","Denhamia_celastroides","3"
"117","Diapensia_lapponica","1"
"118","Diospyros_australis","2"
"119","Dipterocarpus_tempehes","3"
"120","Discaria_americana","3"
"121","Drosophyllum_lusitanicum","1"
