"","Species","Cluster"
"1","Abolboda_pulchella","1"
"2","Achatocarpus_praecox","2"
"3","Acorus_calamus","2"
"4","Actinidia_chinensis","2"
"5","Aerva_javanica","2"
"6","Aextoxicon_punctatum","2"
"7","Agalinis_neoscotica","1"
"8","Ailanthus_altissima","2"
"9","Ajuga_reptans","1"
"10","Akebia_quinata","1"
"11","Albizia_julibrissin","2"
"12","Alepis_flavida","2"
"13","Allanblackia_floribunda","2"
"14","Allium_sativum","1"
"15","Allocasuarina_verticillata","2"
"16","Alluaudia_procera","2"
"17","Alnus_alnobetula","2"
"18","Aloe_thraskii","1"
"19","Alphitonia_excelsa","2"
"20","Alseuosmia_macrophylla","2"
"21","Alstroemeria_aurea","1"
"22","Alyssum_simplex","1"
"23","Amborella_trichopoda","2"
"24","Amsonia_tabernaemontana","1"
"25","Anarthria_polyphylla","1"
"26","Angelonia_pubescens","1"
"27","Anigozanthos_humilis","1"
"28","Annona_crassiflora","2"
"29","Antirrhinum_majus","1"
"30","Apium_graveolens","1"
"31","Aquilegia_canadensis","1"
"32","Arabidopsis_thaliana","1"
"33","Aralidium_pinnatifidum","2"
"34","Arctostaphylos_uva-ursi","2"
"35","Arum_maculatum","1"
"36","Asparagus_officinalis","1"
"37","Astelia_alpina","1"
"38","Audouinia_capitata","2"
"39","Avicennia_marina","2"
"40","Azima_tetracantha","2"
"41","Balanops_pancheri","2"
"42","Bdallophytum_americanum","1"
"43","Begonia_heracleifolia","1"
"44","Bergeranthus_multiceps","1"
"45","Berteroa_incana","1"
"46","Bertholletia_excelsa","2"
"47","Beta_vulgaris","1"
"48","Bixa_orellana","2"
"49","Borago_officinalis","1"
"50","Brasenia_schreberi","1"
"51","Bretschneidera_sinensis","2"
"52","Bruguiera_gymnorhiza","2"
"53","Buddleja_davidii","2"
"54","Bursera_simaruba","2"
"55","Butomus_umbellatus","1"
"56","Buxus_balearica","2"
"57","Byrsonima_crassifolia","2"
"58","Cabomba_caroliniana","1"
"59","Calceolaria_purpurea","1"
"60","Camellia_sinensis","2"
"61","Canacomyrica_monticola","2"
"62","Canna_indica","1"
"63","Cannabis_sativa","2"
"64","Cardiocrinum_cordatum","1"
"65","Carica_papaya","2"
"66","Caryocar_brasiliense","2"
"67","Catalpa_speciosa","2"
"68","Catharanthus_roseus","2"
"69","Caulophyllum_thalictroides","1"
"70","Centroplacus_glaucinus","2"
"71","Ceratophyllum_demersum","1"
"72","Cercidiphyllum_japonicum","2"
"73","Chimaphila_umbellata","2"
"74","Chimonanthus_praecox","1"
"75","Chloranthus_spicatus","2"
"76","Chorispora_tenella","1"
"77","Cinnamomum_camphora","2"
"78","Clarkia_xantiana","1"
"79","Claytonia_virginica","2"
"80","Clethra_alnifolia","2"
"81","Clutia_pulchella","2"
"82","Cobaea_scandens","2"
"83","Cochlospermum_vitifolium","2"
"84","Coffea_arabica","2"
"85","Combretum_leprosum","2"
"86","Commelina_communis","1"
"87","Cordyline_australis","2"
"88","Coriaria_myrtifolia","2"
"89","Coriaria_ruscifolia","2"
"90","Cornus_florida","2"
"91","Corokia_cotoneaster","2"
"92","Corrigiola_litoralis","1"
"93","Costus_woodsonii","1"
"94","Cucurbita_pepo","1"
"95","Cupaniopsis_anacardioides","2"
"96","Curculigo_latifolia","1"
"97","Cuscuta_cuspidata","1"
"98","Cuttsia_viburnea","2"
"99","Cyclanthus_bipartitus","2"
"100","Cymodocea_nodosa","1"
"101","Cypripedium_calceolus","1"
"102","Cyrilla_racemiflora","2"
"103","Dalechampia_spathulata","2"
"104","Dalzellia_ceylanica","2"
"105","Daphniphyllum_macropodum","2"
"106","Datisca_glomerata","1"
"107","Davidsonia_jerseyana","1"
"108","Davilla_kunthii","1"
"109","Denhamia_celastroides","2"
"110","Diapensia_lapponica","2"
"111","Diospyros_australis","2"
"112","Discaria_americana","2"
"113","Drosophyllum_lusitanicum","1"
"114","Dryas_octopetala","1"
"115","Durio_zibethinus","2"
"116","Eichhornia_crassipes","1"
"117","Eriogonum_arborescens","2"
"118","Erythroxylum_laurifolium","2"
"119","Eschscholzia_californica","1"
"120","Eupomatia_bennettii","2"
"121","Eupomatia_laurina","2"
"122","Fagus_grandifolia","2"
